obj_name,campaign,ap_start,ap_end,count,EPIC_ID,main_type,sub_type,new_obj_name,clean_name,alternate_names,PROPOSERS,IDS
TROJAN (21593),6,200048037,200048282,246,,asteroid-Trojan,-21593,TROJAN (21593),21593,1998 VL27|21593,Ryan,GO6025
TROJAN (35363),6,200051569,200051813,245,,asteroid-Trojan,-35363,TROJAN (35363),35363,1997 TV28|35363,Ryan,GO6025
Comet.202P,14,200178858,200179102,245,,comet,202P,Comet.202P,202P,,Ryan,GO14086
Asteroid.Trojan.2009 UR154,15,200187855,200188097,243,,asteroid-Trojan,2009 UR154,Asteroid.Trojan.2009 UR154,2009 UR154,2009 UR154|296787,Ryan,GO15085
TROJAN (22056),6,200048533,200048774,242,,asteroid-Trojan,-22056,TROJAN (22056),22056,2000 AU31|22056,Ryan,GO6025
TROJAN (15626),6,200047087,200047328,242,,asteroid-Trojan,-15626,TROJAN (15626),15626,15626|2000 HR50,Ryan,GO6025
Asteroid.Trojan.2001 QK43,111|112,200117754,200137915,241,,asteroid-Trojan,2001 QK43,Asteroid.Trojan.2001 QK43,2001 QK43,2001 QK43|217039,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Comet.94P,15,200192328,200192567,240,,comet,94P,Comet.94P,94P,,Ryan,GO15086
Asteroid.Trojan.Podarkes,111|112,200127902,200146443,240,,asteroid-Trojan,Podarkes,Asteroid.Trojan.Podarkes,Podarkes,13062|1991 HN|Podarkes,Parker|Ryan,GO11100|GO11051
TNO.2015 BZ518,15,200191257,200191493,237,,TNO,2015 BZ518,TNO.2015 BZ518,2015 BZ518,2015 BZ518,Pal|Grundy,GO15098|GO15073
TROJAN (24537),6,200051169,200051405,237,,asteroid-Trojan,-24537,TROJAN (24537),24537,2001 CB35|24537,Ryan,GO6025
Trojan 2000 QG199,7,200061226,200061462,237,,asteroid-Trojan, 2000 QG199,Trojan 2000 QG199,2000 QG199,2000 QG199|98002,Ryan,GO7025
TROJAN (5028),6,200054674,200054908,235,,asteroid-Trojan,-5028,TROJAN (5028),5028,1988 BY1|5028|Halaesus,Ryan,GO6025
Asteroid.Trojan.2001 SW273,12,200153188,200153422,235,,asteroid-Trojan,2001 SW273,Asteroid.Trojan.2001 SW273,2001 SW273,131502|2001 SW273,Ryan,GO12051
TROJAN (8241),6,200059317,200059550,234,,asteroid-Trojan,-8241,TROJAN (8241),8241,1973 SE1|8241|Agrius,Ryan,GO6025
Pluto,7,200062594,200062827,234,,TNO,Pluto,Pluto,Pluto,999,Benecchi,GO7012
TROJAN (65210),6,200057598,200057827,230,,asteroid-Trojan,-65210,TROJAN (65210),65210,2002 EG|65210|Stichius,Ryan,GO6025
TNO.2013 PH44,12,200158051,200158278,228,,TNO,2013 PH44,TNO.2013 PH44,2013 PH44,2013 PH44|471931,Pal,GO12114
TNO.2000 OG44,14,200177188,200177411,224,,TNO,2000 OG44,TNO.2000 OG44,2000 OG44,18916|2000 OG44,Pal,GO14098
Asteroid.Hilda.86435,14,200181723,200181946,224,,asteroid-Hilda,86435,Asteroid.Hilda.86435,86435,2000 CL9|86435,Ryan,GO14085
Asteroid.Trojan.2002 EL153,111|112,200118822,200138983,218,,asteroid-Trojan,2002 EL153,Asteroid.Trojan.2002 EL153,2002 EL153,2002 EL153|57920,Pal|Parker|Ryan,GO11114|GO11100|GO11051
TROJAN (38574),6,200052249,200052466,218,,asteroid-Trojan,-38574,TROJAN (38574),38574,1999 WS4|38574,Ryan,GO6025
Asteroid.Trojan.2007 RJ283,111|112,200121752,200141111,218,,asteroid-Trojan,2007 RJ283,Asteroid.Trojan.2007 RJ283,2007 RJ283,2007 RJ283|236878,Pal|Parker|Ryan,GO11114|GO11100|GO11051
TROJAN (11251),6,200042015,200042231,217,,asteroid-Trojan,-11251,TROJAN (11251),11251,11251|1973 SN1|Icarion,Ryan,GO6025
Asteroid.Trojan.2000 BV1,111|112,200111152,200132961,217,,asteroid-Trojan,2000 BV1,Asteroid.Trojan.2000 BV1,2000 BV1,103508|2000 BV1,Pal|Parker|Ryan,GO11114|GO11100|GO11051
TROJAN (39286),6,200052761,200052975,215,,asteroid-Trojan,-39286,TROJAN (39286),39286,2001 CX6|39286,Ryan,GO6025
Asteroid.Trojan.2000 QK57,12,200151255,200151469,215,,asteroid-Trojan,2000 QK57,Asteroid.Trojan.2000 QK57,2000 QK57,2000 QK57|76811,Ryan,GO12051
Asteroid.Trojan.Bredthauer,12,200160958,200161172,215,,asteroid-Trojan,Bredthauer,Asteroid.Trojan.Bredthauer,Bredthauer,16915|1998 FR10|Bredthauer,Ryan,GO12051
TROJAN (4035),6,200053782,200053995,214,,asteroid-Trojan,-4035,TROJAN (4035),4035,1986 WD|4035,Ryan,GO6025
Asteroid.Trojan.2000 KE9,111|112,200112258,200133563,212,,asteroid-Trojan,2000 KE9,Asteroid.Trojan.2000 KE9,2000 KE9,2000 KE9|51284,Pal|Parker|Ryan,GO11114|GO11100|GO11051
TNO.2014 LS28,15,200190716,200190927,212,,TNO,2014 LS28,TNO.2014 LS28,2014 LS28,2014 LS28,Grundy,GO15073
Asteroid.Hilda.2001 HG21,15,200186113,200186323,211,,asteroid-Hilda,2001 HG21,Asteroid.Hilda.2001 HG21,2001 HG21,176158|2001 HG21,Ryan,GO15085
Asteroid.Hilda.2000 DC45,15,200185908,200186112,205,,asteroid-Hilda,2000 DC45,Asteroid.Hilda.2000 DC45,2000 DC45,2000 DC45|92283,Ryan,GO15085
Asteroid.Hilda.60381,14,200180700,200180903,204,,asteroid-Hilda,60381,Asteroid.Hilda.60381,60381,2000 AX180|60381,Ryan,GO14085
Asteroid.Hilda.1992 DJ6,15,200185005,200185206,202,,asteroid-Hilda,1992 DJ6,Asteroid.Hilda.1992 DJ6,1992 DJ6,178295|1992 DJ6,Ryan,GO15085
Asteroid.Hilda.2005 TN125,15,200187137,200187338,202,,asteroid-Hilda,2005 TN125,Asteroid.Hilda.2005 TN125,2005 TN125,147836|2005 TN125,Ryan,GO15085
Asteroid.Trojan.2008 SA192,111|112,200122057,200141446,202,,asteroid-Trojan,2008 SA192,Asteroid.Trojan.2008 SA192,2008 SA192,2008 SA192|228103,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Hilda.119942,14,200174511,200174707,197,,asteroid-Hilda,119942,Asteroid.Hilda.119942,119942,119942|2002 GJ129,Ryan,GO14085
Asteroid.Hilda.Muskau,15,200192731,200192926,196,,asteroid-Hilda,Muskau,Asteroid.Hilda.Muskau,Muskau,29053|4466 T-2|Muskau,Ryan,GO15085
Asteroid.Trojan.2004 CV2,12,200156662,200156854,193,,asteroid-Trojan,2004 CV2,Asteroid.Trojan.2004 CV2,2004 CV2,2004 CV2|90456,Ryan,GO12051
Asteroid.Hilda.2000 DC27,15,200185716,200185907,192,,asteroid-Hilda,2000 DC27,Asteroid.Hilda.2000 DC27,2000 DC27,152900|2000 DC27,Ryan,GO15085
Asteroid.Hilda.141557,14,200175254,200175444,191,,asteroid-Hilda,141557,Asteroid.Hilda.141557,141557,141557|2002 GY69,Ryan,GO14085
TROJAN (1749),6,200047847,200048036,190,,asteroid-Trojan,-1749,TROJAN (1749),1749,1749|1949 SB|Telamon,Ryan,GO6025
Asteroid.373,14,200180071,200180260,190,,asteroid-Main Belt,373 Melusina,Asteroid.373,373,1893 AJ|373|Melusina,Marciniak,GO14059
Asteroid.Trojan.116567,14,200174205,200174391,187,,asteroid-Trojan,116567,Asteroid.Trojan.116567,116567,116567|2004 BV84,Ryan,GO14085
Moon.Titan,111|112,200128938,200147463,185,,moon,Titan,Moon.Titan,Titan,,Parker,GO11100
TROJAN (1143),6,200042598,200042780,183,,asteroid-Trojan,-1143,TROJAN (1143),1143,1143|1930 BH|Odysseus,Ryan,GO6025
TROJAN (65227),6,200058002,200058179,178,,asteroid-Trojan,-65227,TROJAN (65227),65227,2002 ES46|65227,Ryan,GO6025
Asteroid.Hilda.2008 CW119,15,200187528,200187704,177,,asteroid-Hilda,2008 CW119,Asteroid.Hilda.2008 CW119,2008 CW119,2008 CW119|249182,Ryan,GO15085
Asteroid.Hilda.13035,14,200174823,200174998,176,,asteroid-Hilda,13035,Asteroid.Hilda.13035,13035,13035|1989 UA6,Ryan,GO14085
TROJAN (65223),6,200057828,200058001,174,,asteroid-Trojan,-65223,TROJAN (65223),65223,2002 EU34|65223,Ryan,GO6025
Asteroid.Trojan.2002 XF45,111|112,200120840,200140775,174,,asteroid-Trojan,2002 XF45,Asteroid.Trojan.2002 XF45,2002 XF45,2002 XF45|218241,Pal|Parker|Ryan,GO11114|GO11100|GO11051
TNO.2002 GP32,111|112,200119931,200140039,172,,TNO,2002 GP32,TNO.2002 GP32,2002 GP32,2002 GP32,Pal|Parker|Ryan,GO11114|GO11100|GO11051
TNO.2010 JJ124,111|112,200123655,200142330,171,,TNO,2010 JJ124,TNO.2010 JJ124,2010 JJ124,2010 JJ124,Pal|Parker|Ryan,GO11114|GO11100|GO11051
TNO.Ixion,111|112,200125242,200143834,170,,TNO,Ixion,TNO.Ixion,Ixion,2001 KX76|28978|Ixion,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Hilda.1988 SX2,15,200184741,200184909,169,,asteroid-Hilda,1988 SX2,Asteroid.Hilda.1988 SX2,1988 SX2,11274|1988 SX2|Castillo-Rogez,Ryan,GO15085
TNO.2005 LC54,111|112,200121120,200140858,164,,TNO,2005 LC54,TNO.2005 LC54,2005 LC54,2005 LC54,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Fantasia,15,200192568,200192730,163,,,,Asteroid.Fantasia,Fantasia,1224|Fantasia|1927 SD,Marciniak,GO15059
TROJAN (353363),6,200051406,200051568,163,,asteroid-Trojan,-353363,TROJAN (353363),353363,2010 XP50|353363,Ryan,GO6025
TROJAN (5244),6,200055721,200055881,161,,asteroid-Trojan,-5244,TROJAN (5244),5244,1973 SQ1|5244|Amphilochos,Ryan,GO6025
TNO.2014 WJ510,14,200178152,200178312,161,,TNO,2014 WJ510,TNO.2014 WJ510,2014 WJ510,2014 WJ510,Pal,GO14098
MOON.Caliban,8,200067922,200068080,159,,moon,Caliban,MOON.Caliban,Caliban,,,
MOON.Prospero,8,200068129,200068284,156,,moon,Prospero,MOON.Prospero,Prospero,,,
Asteroid.Trojan.2008 TJ126,111|112,200122542,200141918,155,,asteroid-Trojan,2008 TJ126,Asteroid.Trojan.2008 TJ126,2008 TJ126,2008 TJ126|315949,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.Tlepolemos,111|112,200128101,200146607,153,,asteroid-Trojan,Tlepolemos,Asteroid.Trojan.Tlepolemos,Tlepolemos,15651|9612 P-L|Tlepolemos,Parker|Ryan,GO11100|GO11051
Asteroid.Trojan.Peiraios,111|112,200127502,200146013,152,,asteroid-Trojan,Peiraios,Asteroid.Trojan.Peiraios,Peiraios,12658|1973 SL|Peiraios,Parker|Ryan,GO11100|GO11051
Asteroid.Trojan.2008 SO47,15,200187705,200187854,150,,asteroid-Trojan,2008 SO47,Asteroid.Trojan.2008 SO47,2008 SO47,2008 SO47|246550,Ryan,GO15085
Asteroid.Trojan.111113,14,200173958,200174106,149,,asteroid-Trojan,111113,Asteroid.Trojan.111113,111113,111113|2001 VK85,Ryan,GO14085
TNO.2001 KA77,111|112,200114742,200135050,148,,TNO,2001 KA77,TNO.2001 KA77,2001 KA77,2001 KA77,Pal|Parker|Ryan,GO11114|GO11100|GO11051
TNO.2010 GX34,111|112,200123581,200142244,148,,TNO,2010 GX34,TNO.2010 GX34,2010 GX34,2010 GX34,Pal|Parker|Ryan,GO11114|GO11100|GO11051
TNO.2008 CS190,14,200177428,200177575,148,,TNO,2008 CS190,TNO.2008 CS190,2008 CS190,2008 CS190|470523,Pal,GO14098
Asteroid.Neujmina,15,200192927,200193071,145,,,,Asteroid.Neujmina,Neujmina,1129 Neujmina (1929 PH),Marciniak,GO15059
Asteroid.Hilda.146961,14,200175445,200175587,143,,asteroid-Hilda,146961,Asteroid.Hilda.146961,146961,146961|2002 GH129,Ryan,GO14085
Asteroid.Hilda.2003 QE57,15,200186997,200187136,140,,asteroid-Hilda,2003 QE57,Asteroid.Hilda.2003 QE57,2003 QE57,114954|2003 QE57,Ryan,GO15085
TNO.2012 VU85,13,200172458,200172596,139,,TNO,2012 VU85,TNO.2012 VU85,2012 VU85,2012 VU85|463368,Pal,GO13114
Asteroid.Trojan.131635,14,200174999,200175137,139,,asteroid-Trojan,131635,Asteroid.Trojan.131635,131635,131635|2001 XW71,Ryan,GO14085
TROJAN (3801),6,200052111,200052248,138,,asteroid-Trojan,-3801,TROJAN (3801),3801,1985 VS|3801|Thrasymedes,Ryan,GO6025
Asteroid.Trojan.2000 AQ231,111|112,200110678,200132451,137,,asteroid-Trojan,2000 AQ231,Asteroid.Trojan.2000 AQ231,2000 AQ231,2000 AQ231|26486,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Hilda.208290,14,200179228,200179361,134,,asteroid-Hilda,208290,Asteroid.Hilda.208290,208290,2001 DH1|208290,Ryan,GO14085
Asteroid.Hilda.174074,14,200175588,200175719,132,,asteroid-Hilda,174074,Asteroid.Hilda.174074,174074,174074|2002 EO133,Ryan,GO14085
TROJAN (5652),6,200056267,200056398,132,,asteroid-Trojan,-5652,TROJAN (5652),5652,1992 HS3|5652|Amphimachus,Ryan,GO6025
Asteroid.Trojan.1997 XR13,111|112,200107462,200129367,131,,asteroid-Trojan,1997 XR13,Asteroid.Trojan.1997 XR13,1997 XR13,1997 XR13|52645,Pal|Parker|Ryan,GO11114|GO11100|GO11051
TROJAN (23947),6,200049926,200050052,127,,asteroid-Trojan,-23947,TROJAN (23947),23947,1998 UH16|23947,Ryan,GO6025
TROJAN (10989),6,200041889,200042014,126,,asteroid-Trojan,-10989,TROJAN (10989),10989,10989|1973 SL1|Dolios,Ryan,GO6025
Asteroid.Hilda.207644,14,200179103,200179227,125,,asteroid-Hilda,207644,Asteroid.Hilda.207644,207644,2006 UW322|207644,Ryan,GO14085
Asteroid.Trojan.2007 TP371,111|112,200122000,200141345,124,,asteroid-Trojan,2007 TP371,Asteroid.Trojan.2007 TP371,2007 TP371,200046|2007 TP371,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Stereoskopia,15,200194788,200194909,122,,,,Asteroid.Stereoskopia,Stereoskopia,566|Stereoskopia|1905 QO,Marciniak,GO15059
Asteroid.Hilda.117113,14,200174392,200174510,119,,asteroid-Hilda,117113,Asteroid.Hilda.117113,117113,117113|2004 PG11,Ryan,GO14085
TROJAN (4138),6,200054063,200054180,118,,asteroid-Trojan,-4138,TROJAN (4138),4138,1973 SM|4138|Kalchas,Ryan,GO6025
Asteroid.Hilda.134652,14,200175138,200175253,116,,asteroid-Hilda,134652,Asteroid.Hilda.134652,134652,134652|1999 VT37,Ryan,GO14085
Asteroid.Hilda.120962,14,200174708,200174822,115,,asteroid-Hilda,120962,Asteroid.Hilda.120962,120962,120962|1998 VM11,Ryan,GO14085
Asteroid.Hilda.174089,14,200176002,200176115,114,,asteroid-Hilda,174089,Asteroid.Hilda.174089,174089,174089|2002 GX137,Ryan,GO14085
Asteroid.Hilda.Mauderli,14,200182015,200182128,114,,asteroid-Hilda,Mauderli,Asteroid.Hilda.Mauderli,Mauderli,1748|1966 RA|Mauderli,Ryan,GO14085
TNO.2002 KX14,111|112,200120300,200140224,113,,TNO,2002 KX14,TNO.2002 KX14,2002 KX14,119951|2002 KX14,Pal|Parker|Ryan,GO11114|GO11100|GO11051
TNO.385437,15,200191494,200191604,111,,TNO,385437,TNO.385437,385437,2003 GH55|385437,Pal|Grundy,GO15098|GO15073
Asteroid.Trojan.76820,14,200181013,200181123,111,,asteroid-Trojan,76820,Asteroid.Trojan.76820,76820,2000 RW105|76820,Ryan,GO14085
Asteroid.Hilda.63293,14,200180904,200181012,109,,asteroid-Hilda,63293,Asteroid.Hilda.63293,63293,2001 DT89|63293,Ryan,GO14085
TNO.2014 GJ54,15,200190421,200190529,109,,TNO,2014 GJ54,TNO.2014 GJ54,2014 GJ54,2014 GJ54,Pal,GO15098
Asteroid.Hilda.177640,14,200176116,200176224,109,,asteroid-Hilda,177640,Asteroid.Hilda.177640,177640,177640|2004 NX10,Ryan,GO14085
TNO.2003 QA92,12,200156555,200156661,107,,TNO,2003 QA92,TNO.2003 QA92,2003 QA92,2003 QA92,Pal,GO12114
Comet.P2010 TO20,14,200182129,200182234,106,,comet,P2010 TO20,Comet.P2010 TO20,P2010 TO20,,Ryan,GO14086
Asteroid.Trojan.2001 SZ250,12,200153423,200153528,106,,asteroid-Trojan,2001 SZ250,Asteroid.Trojan.2001 SZ250,2001 SZ250,2001 SZ250|77892,Ryan,GO12051
TNO.2009 YG19,13,200172356,200172457,102,,TNO,2009 YG19,TNO.2009 YG19,2009 YG19,2009 YG19,Pal,GO13114
TNO.2004 TV357,13,200171459,200171560,102,,TNO,2004 TV357,TNO.2004 TV357,2004 TV357,2004 TV357,Pal,GO13114
TNO.2014 JQ80,15,200190618,200190715,98,,TNO,2014 JQ80,TNO.2014 JQ80,2014 JQ80,2014 JQ80,Pal,GO15098
Asteroid.Trojan.111231,14,200174107,200174204,98,,asteroid-Trojan,111231,Asteroid.Trojan.111231,111231,111231|2001 WM60,Ryan,GO14085
Asteroid.Trojan.76835,14,200181124,200181220,97,,asteroid-Trojan,76835,Asteroid.Trojan.76835,76835,2000 SH255|76835,Ryan,GO14085
Asteroid.Trojan.301013,14,200179362,200179457,96,,asteroid-Trojan,301013,Asteroid.Trojan.301013,301013,2008 JJ18|301013,Ryan,GO14085
Asteroid.Trojan.2002 EN37,111|112,200118931,200139028,90,,asteroid-Trojan,2002 EN37,Asteroid.Trojan.2002 EN37,2002 EN37,195245|2002 EN37,Pal|Parker|Ryan,GO11114|GO11100|GO11051
TNO.2014 DJ143,15,200189608,200189696,89,,TNO,2014 DJ143,TNO.2014 DJ143,2014 DJ143,2014 DJ143,Pal,GO15098
TNO.2004 TF282,13,200171371,200171458,88,,TNO,2004 TF282,TNO.2004 TF282,2004 TF282,2004 TF282,Pal,GO13114
TNO.2014 HF200,15,200190530,200190617,88,,TNO,2014 HF200,TNO.2014 HF200,2014 HF200,2014 HF200,Pal,GO15098
TNO.2005 TB190,12,200156855,200156942,88,,TNO,2005 TB190,TNO.2005 TB190,2005 TB190,145480|2005 TB190,Pal,GO12114
TNO.2000 OK67,12,200150877,200150963,87,,TNO,2000 OK67,TNO.2000 OK67,2000 OK67,138537|2000 OK67,Pal,GO12114
TNO.2001 QB298,12,200152385,200152470,86,,TNO,2001 QB298,TNO.2001 QB298,2001 QB298,2001 QB298|385266,Pal,GO12114
TNO.2002 VS130,13,200171141,200171223,83,,TNO,2002 VS130,TNO.2002 VS130,2002 VS130,149348|2002 VS130,Pal,GO13114
TNO.2014 WA509,14,200177576,200177656,81,,TNO,2014 WA509,TNO.2014 WA509,2014 WA509,2014 WA509,Grundy,GO14073
TNO.2002 VT130,13,200171224,200171302,79,,TNO,2002 VT130,TNO.2002 VT130,2002 VT130,2002 VT130|508869,Pal,GO13114
TNO.2002 GJ32,15,200186920,200186996,77,,TNO,2002 GJ32,TNO.2002 GJ32,2002 GJ32,182934|2002 GJ32,Pal,GO15098
TROJAN (39289),6,200052976,200053050,75,,asteroid-Trojan,-39289,TROJAN (39289),39289,2001 CT28|39289,Ryan,GO6025
TROJAN (14690),6,200046040,200046112,73,,asteroid-Trojan,-14690,TROJAN (14690),14690,14690|2000 AR25,Ryan,GO6025
TNO.2002 VU130,13,200171303,200171370,68,,TNO,2002 VU130,TNO.2002 VU130,2002 VU130,2002 VU130|307463,Pal,GO13114
Asteroid.Hilda.Janeausten,14,200181947,200182014,68,,asteroid-Hilda,Janeausten,Asteroid.Hilda.Janeausten,Janeausten,39415|4231 T-1|Janeausten,Ryan,GO14085
TROJAN (4057),6,200053996,200054062,67,,asteroid-Trojan,-4057,TROJAN (4057),4057,1985 TQ|4057|Demophon,Ryan,GO6025
MOON.Setebos,8,200068285,200068350,66,,moon,Setebos,MOON.Setebos,Setebos,,,
TROJAN (13331),6,200044120,200044183,64,,asteroid-Trojan,-13331,TROJAN (13331),13331,13331|1998 SU52,Ryan,GO6025
TNO.2001 QX297,12,200152518,200152577,60,,TNO,2001 QX297,TNO.2001 QX297,2001 QX297,2001 QX297,Pal,GO12114
TNO.2005 RS43,8,200065610,200065665,56,,TNO,2005 RS43,TNO.2005 RS43,2005 RS43,2005 RS43|308379,Kiss,GO8075
TROJAN (14791),6,200046113,200046166,54,,asteroid-Trojan,-14791,TROJAN (14791),14791,14791|1973 SU|Atreus,Ryan,GO6025
TNO.1998 SN165,8,200062904,200062956,53,,TNO,1998 SN165,TNO.1998 SN165,1998 SN165,1998 SN165|35671,Kiss,GO8075
TNO.2001 QJ298,12,200152471,200152517,47,,TNO,2001 QJ298,TNO.2001 QJ298,2001 QJ298,2001 QJ298|408832,Pal,GO12114
MOON.Sycorax,8,200068351,200068391,41,,moon,Sycorax,MOON.Sycorax,Sycorax,,,
TROJAN (13184),6,200043721,200043758,38,,asteroid-Trojan,-13184,TROJAN (13184),13184,13184|1996 TS49|Augeias,Ryan,GO6025
TNO.2004 XR190,13,200171561,200171596,36,,TNO,2004 XR190,TNO.2004 XR190,2004 XR190,2004 XR190,Pal,GO13114
TNO.2001 QT322,8,200065548,200065578,31,,TNO,2001 QT322,TNO.2001 QT322,2001 QT322,135182|2001 QT322,Kiss,GO8075
TNO.2003 QW90,8,200065579,200065609,31,,TNO,2003 QW90,TNO.2003 QW90,2003 QW90,2003 QW90|307616,Kiss,GO8075
Asteroid.Trojan.Phemios,111,200127578,200127608,31,,asteroid-Trojan,Phemios,Asteroid.Trojan.Phemios,Phemios,10664|5187 T-2|Phemios,Ryan,GO11051
TROJAN (9807),6,200060773,200060802,30,,asteroid-Trojan,-9807,TROJAN (9807),9807,1997 SJ4|9807,Ryan,GO6025
TNO.2002 CY224,14,200177412,200177427,16,,TNO,2002 CY224,TNO.2002 CY224,2002 CY224,119878|2002 CY224,Pal,GO14098
TNO (225088) 2007 OR10,3,200004467,200004467,1,,TNO, (225088) 2007 OR10,2007 OR10,2007 OR10,,,
2002 GV31,1,200001049,200001049,1,,TNO,2002 GV31,2002 GV31,2002 GV31,2002 GV31|469438,,
